Variable Name,Description
Label,Label of Activity
tBodyAcc.mean...X,Refer Feature file in repos
tBodyAcc.mean...Y,Refer Feature file in repos
tBodyAcc.mean...Z,Refer Feature file in repos
tBodyAcc.std...X,Refer Feature file in repos
tBodyAcc.std...Y,Refer Feature file in repos
tBodyAcc.std...Z,Refer Feature file in repos
tBodyAcc.mad...X,Refer Feature file in repos
tBodyAcc.mad...Y,Refer Feature file in repos
tBodyAcc.mad...Z,Refer Feature file in repos
tBodyAcc.max...X,Refer Feature file in repos
tBodyAcc.max...Y,Refer Feature file in repos
tBodyAcc.max...Z,Refer Feature file in repos
tBodyAcc.min...X,Refer Feature file in repos
tBodyAcc.min...Y,Refer Feature file in repos
tBodyAcc.min...Z,Refer Feature file in repos
tBodyAcc.sma..,Refer Feature file in repos
tBodyAcc.energy...X,Refer Feature file in repos
tBodyAcc.energy...Y,Refer Feature file in repos
tBodyAcc.energy...Z,Refer Feature file in repos
tBodyAcc.iqr...X,Refer Feature file in repos
tBodyAcc.iqr...Y,Refer Feature file in repos
tBodyAcc.iqr...Z,Refer Feature file in repos
tBodyAcc.entropy...X,Refer Feature file in repos
tBodyAcc.entropy...Y,Refer Feature file in repos
tBodyAcc.entropy...Z,Refer Feature file in repos
tBodyAcc.arCoeff...X.1,Refer Feature file in repos
tBodyAcc.arCoeff...X.2,Refer Feature file in repos
tBodyAcc.arCoeff...X.3,Refer Feature file in repos
tBodyAcc.arCoeff...X.4,Refer Feature file in repos
tBodyAcc.arCoeff...Y.1,Refer Feature file in repos
tBodyAcc.arCoeff...Y.2,Refer Feature file in repos
tBodyAcc.arCoeff...Y.3,Refer Feature file in repos
tBodyAcc.arCoeff...Y.4,Refer Feature file in repos
tBodyAcc.arCoeff...Z.1,Refer Feature file in repos
tBodyAcc.arCoeff...Z.2,Refer Feature file in repos
tBodyAcc.arCoeff...Z.3,Refer Feature file in repos
tBodyAcc.arCoeff...Z.4,Refer Feature file in repos
tBodyAcc.correlation...X.Y,Refer Feature file in repos
tBodyAcc.correlation...X.Z,Refer Feature file in repos
tBodyAcc.correlation...Y.Z,Refer Feature file in repos
tGravityAcc.mean...X,Refer Feature file in repos
tGravityAcc.mean...Y,Refer Feature file in repos
tGravityAcc.mean...Z,Refer Feature file in repos
tGravityAcc.std...X,Refer Feature file in repos
tGravityAcc.std...Y,Refer Feature file in repos
tGravityAcc.std...Z,Refer Feature file in repos
tGravityAcc.mad...X,Refer Feature file in repos
tGravityAcc.mad...Y,Refer Feature file in repos
tGravityAcc.mad...Z,Refer Feature file in repos
tGravityAcc.max...X,Refer Feature file in repos
tGravityAcc.max...Y,Refer Feature file in repos
tGravityAcc.max...Z,Refer Feature file in repos
tGravityAcc.min...X,Refer Feature file in repos
tGravityAcc.min...Y,Refer Feature file in repos
tGravityAcc.min...Z,Refer Feature file in repos
tGravityAcc.sma..,Refer Feature file in repos
tGravityAcc.energy...X,Refer Feature file in repos
tGravityAcc.energy...Y,Refer Feature file in repos
tGravityAcc.energy...Z,Refer Feature file in repos
tGravityAcc.iqr...X,Refer Feature file in repos
tGravityAcc.iqr...Y,Refer Feature file in repos
tGravityAcc.iqr...Z,Refer Feature file in repos
tGravityAcc.entropy...X,Refer Feature file in repos
tGravityAcc.entropy...Y,Refer Feature file in repos
tGravityAcc.entropy...Z,Refer Feature file in repos
tGravityAcc.arCoeff...X.1,Refer Feature file in repos
tGravityAcc.arCoeff...X.2,Refer Feature file in repos
tGravityAcc.arCoeff...X.3,Refer Feature file in repos
tGravityAcc.arCoeff...X.4,Refer Feature file in repos
tGravityAcc.arCoeff...Y.1,Refer Feature file in repos
tGravityAcc.arCoeff...Y.2,Refer Feature file in repos
tGravityAcc.arCoeff...Y.3,Refer Feature file in repos
tGravityAcc.arCoeff...Y.4,Refer Feature file in repos
tGravityAcc.arCoeff...Z.1,Refer Feature file in repos
tGravityAcc.arCoeff...Z.2,Refer Feature file in repos
tGravityAcc.arCoeff...Z.3,Refer Feature file in repos
tGravityAcc.arCoeff...Z.4,Refer Feature file in repos
tGravityAcc.correlation...X.Y,Refer Feature file in repos
tGravityAcc.correlation...X.Z,Refer Feature file in repos
tGravityAcc.correlation...Y.Z,Refer Feature file in repos
tBodyAccJerk.mean...X,Refer Feature file in repos
tBodyAccJerk.mean...Y,Refer Feature file in repos
tBodyAccJerk.mean...Z,Refer Feature file in repos
tBodyAccJerk.std...X,Refer Feature file in repos
tBodyAccJerk.std...Y,Refer Feature file in repos
tBodyAccJerk.std...Z,Refer Feature file in repos
tBodyAccJerk.mad...X,Refer Feature file in repos
tBodyAccJerk.mad...Y,Refer Feature file in repos
tBodyAccJerk.mad...Z,Refer Feature file in repos
tBodyAccJerk.max...X,Refer Feature file in repos
tBodyAccJerk.max...Y,Refer Feature file in repos
tBodyAccJerk.max...Z,Refer Feature file in repos
tBodyAccJerk.min...X,Refer Feature file in repos
tBodyAccJerk.min...Y,Refer Feature file in repos
tBodyAccJerk.min...Z,Refer Feature file in repos
tBodyAccJerk.sma..,Refer Feature file in repos
tBodyAccJerk.energy...X,Refer Feature file in repos
tBodyAccJerk.energy...Y,Refer Feature file in repos
tBodyAccJerk.energy...Z,Refer Feature file in repos
tBodyAccJerk.iqr...X,Refer Feature file in repos
tBodyAccJerk.iqr...Y,Refer Feature file in repos
tBodyAccJerk.iqr...Z,Refer Feature file in repos
tBodyAccJerk.entropy...X,Refer Feature file in repos
tBodyAccJerk.entropy...Y,Refer Feature file in repos
tBodyAccJerk.entropy...Z,Refer Feature file in repos
tBodyAccJerk.arCoeff...X.1,Refer Feature file in repos
tBodyAccJerk.arCoeff...X.2,Refer Feature file in repos
tBodyAccJerk.arCoeff...X.3,Refer Feature file in repos
tBodyAccJerk.arCoeff...X.4,Refer Feature file in repos
tBodyAccJerk.arCoeff...Y.1,Refer Feature file in repos
tBodyAccJerk.arCoeff...Y.2,Refer Feature file in repos
tBodyAccJerk.arCoeff...Y.3,Refer Feature file in repos
tBodyAccJerk.arCoeff...Y.4,Refer Feature file in repos
tBodyAccJerk.arCoeff...Z.1,Refer Feature file in repos
tBodyAccJerk.arCoeff...Z.2,Refer Feature file in repos
tBodyAccJerk.arCoeff...Z.3,Refer Feature file in repos
tBodyAccJerk.arCoeff...Z.4,Refer Feature file in repos
tBodyAccJerk.correlation...X.Y,Refer Feature file in repos
tBodyAccJerk.correlation...X.Z,Refer Feature file in repos
tBodyAccJerk.correlation...Y.Z,Refer Feature file in repos
tBodyGyro.mean...X,Refer Feature file in repos
tBodyGyro.mean...Y,Refer Feature file in repos
tBodyGyro.mean...Z,Refer Feature file in repos
tBodyGyro.std...X,Refer Feature file in repos
tBodyGyro.std...Y,Refer Feature file in repos
tBodyGyro.std...Z,Refer Feature file in repos
tBodyGyro.mad...X,Refer Feature file in repos
tBodyGyro.mad...Y,Refer Feature file in repos
tBodyGyro.mad...Z,Refer Feature file in repos
tBodyGyro.max...X,Refer Feature file in repos
tBodyGyro.max...Y,Refer Feature file in repos
tBodyGyro.max...Z,Refer Feature file in repos
tBodyGyro.min...X,Refer Feature file in repos
tBodyGyro.min...Y,Refer Feature file in repos
tBodyGyro.min...Z,Refer Feature file in repos
tBodyGyro.sma..,Refer Feature file in repos
tBodyGyro.energy...X,Refer Feature file in repos
tBodyGyro.energy...Y,Refer Feature file in repos
tBodyGyro.energy...Z,Refer Feature file in repos
tBodyGyro.iqr...X,Refer Feature file in repos
tBodyGyro.iqr...Y,Refer Feature file in repos
tBodyGyro.iqr...Z,Refer Feature file in repos
tBodyGyro.entropy...X,Refer Feature file in repos
tBodyGyro.entropy...Y,Refer Feature file in repos
tBodyGyro.entropy...Z,Refer Feature file in repos
tBodyGyro.arCoeff...X.1,Refer Feature file in repos
tBodyGyro.arCoeff...X.2,Refer Feature file in repos
tBodyGyro.arCoeff...X.3,Refer Feature file in repos
tBodyGyro.arCoeff...X.4,Refer Feature file in repos
tBodyGyro.arCoeff...Y.1,Refer Feature file in repos
tBodyGyro.arCoeff...Y.2,Refer Feature file in repos
tBodyGyro.arCoeff...Y.3,Refer Feature file in repos
tBodyGyro.arCoeff...Y.4,Refer Feature file in repos
tBodyGyro.arCoeff...Z.1,Refer Feature file in repos
tBodyGyro.arCoeff...Z.2,Refer Feature file in repos
tBodyGyro.arCoeff...Z.3,Refer Feature file in repos
tBodyGyro.arCoeff...Z.4,Refer Feature file in repos
tBodyGyro.correlation...X.Y,Refer Feature file in repos
tBodyGyro.correlation...X.Z,Refer Feature file in repos
tBodyGyro.correlation...Y.Z,Refer Feature file in repos
tBodyGyroJerk.mean...X,Refer Feature file in repos
tBodyGyroJerk.mean...Y,Refer Feature file in repos
tBodyGyroJerk.mean...Z,Refer Feature file in repos
tBodyGyroJerk.std...X,Refer Feature file in repos
tBodyGyroJerk.std...Y,Refer Feature file in repos
tBodyGyroJerk.std...Z,Refer Feature file in repos
tBodyGyroJerk.mad...X,Refer Feature file in repos
tBodyGyroJerk.mad...Y,Refer Feature file in repos
tBodyGyroJerk.mad...Z,Refer Feature file in repos
tBodyGyroJerk.max...X,Refer Feature file in repos
tBodyGyroJerk.max...Y,Refer Feature file in repos
tBodyGyroJerk.max...Z,Refer Feature file in repos
tBodyGyroJerk.min...X,Refer Feature file in repos
tBodyGyroJerk.min...Y,Refer Feature file in repos
tBodyGyroJerk.min...Z,Refer Feature file in repos
tBodyGyroJerk.sma..,Refer Feature file in repos
tBodyGyroJerk.energy...X,Refer Feature file in repos
tBodyGyroJerk.energy...Y,Refer Feature file in repos
tBodyGyroJerk.energy...Z,Refer Feature file in repos
tBodyGyroJerk.iqr...X,Refer Feature file in repos
tBodyGyroJerk.iqr...Y,Refer Feature file in repos
tBodyGyroJerk.iqr...Z,Refer Feature file in repos
tBodyGyroJerk.entropy...X,Refer Feature file in repos
tBodyGyroJerk.entropy...Y,Refer Feature file in repos
tBodyGyroJerk.entropy...Z,Refer Feature file in repos
tBodyGyroJerk.arCoeff...X.1,Refer Feature file in repos
tBodyGyroJerk.arCoeff...X.2,Refer Feature file in repos
tBodyGyroJerk.arCoeff...X.3,Refer Feature file in repos
tBodyGyroJerk.arCoeff...X.4,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Y.1,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Y.2,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Y.3,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Y.4,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Z.1,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Z.2,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Z.3,Refer Feature file in repos
tBodyGyroJerk.arCoeff...Z.4,Refer Feature file in repos
tBodyGyroJerk.correlation...X.Y,Refer Feature file in repos
tBodyGyroJerk.correlation...X.Z,Refer Feature file in repos
tBodyGyroJerk.correlation...Y.Z,Refer Feature file in repos
tBodyAccMag.mean..,Refer Feature file in repos
tBodyAccMag.std..,Refer Feature file in repos
tBodyAccMag.mad..,Refer Feature file in repos
tBodyAccMag.max..,Refer Feature file in repos
tBodyAccMag.min..,Refer Feature file in repos
tBodyAccMag.sma..,Refer Feature file in repos
tBodyAccMag.energy..,Refer Feature file in repos
tBodyAccMag.iqr..,Refer Feature file in repos
tBodyAccMag.entropy..,Refer Feature file in repos
tBodyAccMag.arCoeff..1,Refer Feature file in repos
tBodyAccMag.arCoeff..2,Refer Feature file in repos
tBodyAccMag.arCoeff..3,Refer Feature file in repos
tBodyAccMag.arCoeff..4,Refer Feature file in repos
tGravityAccMag.mean..,Refer Feature file in repos
tGravityAccMag.std..,Refer Feature file in repos
tGravityAccMag.mad..,Refer Feature file in repos
tGravityAccMag.max..,Refer Feature file in repos
tGravityAccMag.min..,Refer Feature file in repos
tGravityAccMag.sma..,Refer Feature file in repos
tGravityAccMag.energy..,Refer Feature file in repos
tGravityAccMag.iqr..,Refer Feature file in repos
tGravityAccMag.entropy..,Refer Feature file in repos
tGravityAccMag.arCoeff..1,Refer Feature file in repos
tGravityAccMag.arCoeff..2,Refer Feature file in repos
tGravityAccMag.arCoeff..3,Refer Feature file in repos
tGravityAccMag.arCoeff..4,Refer Feature file in repos
tBodyAccJerkMag.mean..,Refer Feature file in repos
tBodyAccJerkMag.std..,Refer Feature file in repos
tBodyAccJerkMag.mad..,Refer Feature file in repos
tBodyAccJerkMag.max..,Refer Feature file in repos
tBodyAccJerkMag.min..,Refer Feature file in repos
tBodyAccJerkMag.sma..,Refer Feature file in repos
tBodyAccJerkMag.energy..,Refer Feature file in repos
tBodyAccJerkMag.iqr..,Refer Feature file in repos
tBodyAccJerkMag.entropy..,Refer Feature file in repos
tBodyAccJerkMag.arCoeff..1,Refer Feature file in repos
tBodyAccJerkMag.arCoeff..2,Refer Feature file in repos
tBodyAccJerkMag.arCoeff..3,Refer Feature file in repos
tBodyAccJerkMag.arCoeff..4,Refer Feature file in repos
tBodyGyroMag.mean..,Refer Feature file in repos
tBodyGyroMag.std..,Refer Feature file in repos
tBodyGyroMag.mad..,Refer Feature file in repos
tBodyGyroMag.max..,Refer Feature file in repos
tBodyGyroMag.min..,Refer Feature file in repos
tBodyGyroMag.sma..,Refer Feature file in repos
tBodyGyroMag.energy..,Refer Feature file in repos
tBodyGyroMag.iqr..,Refer Feature file in repos
tBodyGyroMag.entropy..,Refer Feature file in repos
tBodyGyroMag.arCoeff..1,Refer Feature file in repos
tBodyGyroMag.arCoeff..2,Refer Feature file in repos
tBodyGyroMag.arCoeff..3,Refer Feature file in repos
tBodyGyroMag.arCoeff..4,Refer Feature file in repos
tBodyGyroJerkMag.mean..,Refer Feature file in repos
tBodyGyroJerkMag.std..,Refer Feature file in repos
tBodyGyroJerkMag.mad..,Refer Feature file in repos
tBodyGyroJerkMag.max..,Refer Feature file in repos
tBodyGyroJerkMag.min..,Refer Feature file in repos
tBodyGyroJerkMag.sma..,Refer Feature file in repos
tBodyGyroJerkMag.energy..,Refer Feature file in repos
tBodyGyroJerkMag.iqr..,Refer Feature file in repos
tBodyGyroJerkMag.entropy..,Refer Feature file in repos
tBodyGyroJerkMag.arCoeff..1,Refer Feature file in repos
tBodyGyroJerkMag.arCoeff..2,Refer Feature file in repos
tBodyGyroJerkMag.arCoeff..3,Refer Feature file in repos
tBodyGyroJerkMag.arCoeff..4,Refer Feature file in repos
fBodyAcc.mean...X,Refer Feature file in repos
fBodyAcc.mean...Y,Refer Feature file in repos
fBodyAcc.mean...Z,Refer Feature file in repos
fBodyAcc.std...X,Refer Feature file in repos
fBodyAcc.std...Y,Refer Feature file in repos
fBodyAcc.std...Z,Refer Feature file in repos
fBodyAcc.mad...X,Refer Feature file in repos
fBodyAcc.mad...Y,Refer Feature file in repos
fBodyAcc.mad...Z,Refer Feature file in repos
fBodyAcc.max...X,Refer Feature file in repos
fBodyAcc.max...Y,Refer Feature file in repos
fBodyAcc.max...Z,Refer Feature file in repos
fBodyAcc.min...X,Refer Feature file in repos
fBodyAcc.min...Y,Refer Feature file in repos
fBodyAcc.min...Z,Refer Feature file in repos
fBodyAcc.sma..,Refer Feature file in repos
fBodyAcc.energy...X,Refer Feature file in repos
fBodyAcc.energy...Y,Refer Feature file in repos
fBodyAcc.energy...Z,Refer Feature file in repos
fBodyAcc.iqr...X,Refer Feature file in repos
fBodyAcc.iqr...Y,Refer Feature file in repos
fBodyAcc.iqr...Z,Refer Feature file in repos
fBodyAcc.entropy...X,Refer Feature file in repos
fBodyAcc.entropy...Y,Refer Feature file in repos
fBodyAcc.entropy...Z,Refer Feature file in repos
fBodyAcc.maxInds.X,Refer Feature file in repos
fBodyAcc.maxInds.Y,Refer Feature file in repos
fBodyAcc.maxInds.Z,Refer Feature file in repos
fBodyAcc.meanFreq...X,Refer Feature file in repos
fBodyAcc.meanFreq...Y,Refer Feature file in repos
fBodyAcc.meanFreq...Z,Refer Feature file in repos
fBodyAcc.skewness...X,Refer Feature file in repos
fBodyAcc.kurtosis...X,Refer Feature file in repos
fBodyAcc.skewness...Y,Refer Feature file in repos
fBodyAcc.kurtosis...Y,Refer Feature file in repos
fBodyAcc.skewness...Z,Refer Feature file in repos
fBodyAcc.kurtosis...Z,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.8,Refer Feature file in repos
fBodyAcc.bandsEnergy...9.16,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.24,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.32,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.40,Refer Feature file in repos
fBodyAcc.bandsEnergy...41.48,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.56,Refer Feature file in repos
fBodyAcc.bandsEnergy...57.64,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.16,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.32,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.48,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.64,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.24,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.48,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.8.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...9.16.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.24.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.32.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.40.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...41.48.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.56.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...57.64.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.16.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.32.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.48.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.64.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.24.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.48.1,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.8.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...9.16.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.24.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.32.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.40.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...41.48.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.56.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...57.64.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.16.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...17.32.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...33.48.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...49.64.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...1.24.2,Refer Feature file in repos
fBodyAcc.bandsEnergy...25.48.2,Refer Feature file in repos
fBodyAccJerk.mean...X,Refer Feature file in repos
fBodyAccJerk.mean...Y,Refer Feature file in repos
fBodyAccJerk.mean...Z,Refer Feature file in repos
fBodyAccJerk.std...X,Refer Feature file in repos
fBodyAccJerk.std...Y,Refer Feature file in repos
fBodyAccJerk.std...Z,Refer Feature file in repos
fBodyAccJerk.mad...X,Refer Feature file in repos
fBodyAccJerk.mad...Y,Refer Feature file in repos
fBodyAccJerk.mad...Z,Refer Feature file in repos
fBodyAccJerk.max...X,Refer Feature file in repos
fBodyAccJerk.max...Y,Refer Feature file in repos
fBodyAccJerk.max...Z,Refer Feature file in repos
fBodyAccJerk.min...X,Refer Feature file in repos
fBodyAccJerk.min...Y,Refer Feature file in repos
fBodyAccJerk.min...Z,Refer Feature file in repos
fBodyAccJerk.sma..,Refer Feature file in repos
fBodyAccJerk.energy...X,Refer Feature file in repos
fBodyAccJerk.energy...Y,Refer Feature file in repos
fBodyAccJerk.energy...Z,Refer Feature file in repos
fBodyAccJerk.iqr...X,Refer Feature file in repos
fBodyAccJerk.iqr...Y,Refer Feature file in repos
fBodyAccJerk.iqr...Z,Refer Feature file in repos
fBodyAccJerk.entropy...X,Refer Feature file in repos
fBodyAccJerk.entropy...Y,Refer Feature file in repos
fBodyAccJerk.entropy...Z,Refer Feature file in repos
fBodyAccJerk.maxInds.X,Refer Feature file in repos
fBodyAccJerk.maxInds.Y,Refer Feature file in repos
fBodyAccJerk.maxInds.Z,Refer Feature file in repos
fBodyAccJerk.meanFreq...X,Refer Feature file in repos
fBodyAccJerk.meanFreq...Y,Refer Feature file in repos
fBodyAccJerk.meanFreq...Z,Refer Feature file in repos
fBodyAccJerk.skewness...X,Refer Feature file in repos
fBodyAccJerk.kurtosis...X,Refer Feature file in repos
fBodyAccJerk.skewness...Y,Refer Feature file in repos
fBodyAccJerk.kurtosis...Y,Refer Feature file in repos
fBodyAccJerk.skewness...Z,Refer Feature file in repos
fBodyAccJerk.kurtosis...Z,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.8,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...9.16,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.24,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.32,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.40,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...41.48,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.56,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...57.64,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.16,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.32,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.48,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.64,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.24,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.48,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.8.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...9.16.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.24.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.32.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.40.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...41.48.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.56.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...57.64.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.16.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.32.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.48.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.64.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.24.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.48.1,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.8.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...9.16.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.24.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.32.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.40.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...41.48.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.56.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...57.64.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.16.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...17.32.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...33.48.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...49.64.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...1.24.2,Refer Feature file in repos
fBodyAccJerk.bandsEnergy...25.48.2,Refer Feature file in repos
fBodyGyro.mean...X,Refer Feature file in repos
fBodyGyro.mean...Y,Refer Feature file in repos
